'Name of school','URL','Street','Address','ZIP-Code','City','Region','Country','Country-Code','Latitude','Longitude'
'Waldorf School Aregnazan Complex','www.waldorf.am','Saryan Str. 23','Yerevan,  375002',,'Yerevan',,'Armenia','AM','40.195011138916','44.5455703735352'
'Colegio Rudolf Steiner','www.colegiosteiner.edu.ar','Warnes 1322 -1357','Florida, Buenos Aires 1602 BXI',1602,'Florida','Buenos Aires','Argentina','AR','-34.5326433','-58.4973528'
'Comunidad Educativa Sol de Oro',,'Las Lilas s/n entre Mariano Moreno y Los Talas','Villa Santa Cruz del Lago, Córdoba ',,'Cordoba','Cordoba','Argentina','AR','-31.4115009307861','-64.2574996948242'
'El Rinconcito',,'Manantiales 64','Villa General Belgrano, Córdoba 5194',5194,'Villa General Belgrano','Cordoba','Argentina','AR','-31.9769325','-64.5611036'
'Escuela Aurora',,'Fleming 333','Villa General Belgrano, Córdoba 5194',5194,'Villa General Belgrano','Cordoba','Argentina','AR','-31.9708','-64.5652099'
'Escuela Clara de Asis','www.claradeasis.com.ar','Independencia sur 720','Ing. Maschwitz, Buenos Aires 1623',1623,'Ingeniero Maschwitz','Buenos Aires','Argentina','AR','-34.3806461','-58.7406579'
'Escuela Cuarto Creciente','www.cuartocreciente.edu.ar','Güemes 1747','Florida, Buenos Aires 1602',1602,'Florida Oeste','Buenos Aires','Argentina','AR','-34.54199','-58.5283'
'Escuela Dandelion','www.dandelion.org.ar','9 de Julio 362','Saldán, Córdoba 5150 ACH',5149,'Saldán','Cordoba','Argentina','AR','-31.3186807','-64.3077425'
'Escuela El Trigal','www.eltrigal.org','Las Rosas Calle Pública','Villa de las Rosas, Córdoba 5885',,'Villa de las Rosas','Cordoba','Argentina','AR','-31.950080871582','-65.0525894165039'
'Escuela Micael',,'Calle Mariland s/n','Luján, Buenos Aires 6700',,'Luján','Buenos Aires','Argentina','AR','-34.5508003234863','-59.1254997253418'
'Escuela Perito Moreno',,'La Paz 1107','Martinez, Buenos Aires B1640',1640,'Martínez','Buenos Aires','Argentina','AR','-34.4934311','-58.5259216'
'Escuela San Miguel Arcangel',,'José Maria Moreno 1369','Villa Adelina, Buenos Aires 1607',1607,'Villa Adelina','Buenos Aires','Argentina','AR','-34.5068479','-58.5416881'
'Escuela Semilla Dorada','www.semilladorada.com.ar','Quequén 3620 esquina Olascoaga','William Morris Hurlingham, Buenos Aires B1686',1686,'William Morris','Buenos Aires','Argentina','AR','-34.57367','-58.65716'
'Escuela Valle del Sol',,'Collon Cura y Piedra de Aguila','China Muerta, Neuquén 8300',,'Neuquen','Neuquen','Argentina','AR','-38.9512710571289','-68.0607376098633'
'Escuela Waldorf Crisol de Micael','www.escuelacrisoldemicael.blogspot.com','Ruta Prov. 16 km 5,','Paraje de Entre Ríos Lago Puelo, Pica. De Chubut 8431',,'Lago Puelo','Chubut','Argentina','AR','-42.063720703125','-71.5989837646484'
'Instituto Juana de Arco','www.juanadearco.bizland.com','Aráoz 1025/7','CABA, Federal Capital, Buenos Aires 1414 DPU',,'Caba','Ilocos Region','Philippines','AR','16.4325408935547','120.344848632813'
'Instituto Superior de Formación Docente "Perito Moreno"','www.escuelaperitomoreno.edu.ar','La Paz 953','Martínez, Buenos Aires 1640',1640,'Martínez','Buenos Aires','Argentina','AR','-34.4923546','-58.5267082'
'Jardin de Infantes Lirios del Sol','www.gimawari.blogspot.com','Pardo 181','Bella Vista, Buenos Aires B1661 EWC',1661,'Bella Vista','Buenos Aires','Argentina','AR','-34.5449979','-58.687917'
'Jardín la Aurora',,'Av Cervantes 1777','Ribera de Quilmes, Buenos Aires CP 1878',1878,'Quilmes','Buenos Aires','Argentina','AR','-34.71429','-58.21753'
'Jardín Rudolf Steiner','www.colegiosteiner.edu.ar','O´Higgins 1235','Florida, Buenos Aires 1603 BXI',1602,'Florida','Buenos Aires','Argentina','AR','-34.53278','-58.49541'
'La Casa de Nora y Guille',,'Jujuy 151 entre Saavedra y Belgrano','Ing. Maschwitz, Buenos Aires 1623',1623,'Ingeniero Maschwitz','Buenos Aires','Argentina','AR','-34.394903','-58.7250783'
'Puente de Estrellas',,'Isaac Newton 5827','Villa Belgrano, Córdoba X 5021 JJF',5000,'Cordoba','Cordoba','Argentina','AR','-31.3674918','-64.256674'
'Tierra Alegre',,'Av Arrayanes 1810','Villa La Angostura, Neuquén 8407',8407,'Villa La Angostura','Neuquen','Argentina','AR','-40.7627',-71635
'Waldorf Kindergarten Teachers-Training Seminar',,'Crisólogo Larralde 2224','Ciudad Autónoma de Buenos Aires,  1429',1429,'Buenos Aires City','Buenos Aires Autonomous City','Argentina','AR','-34.54808','-58.46636'
'Freie Waldorfschule Innsbruck-Waldorfkindergarten Innsbruck','www.waldorf-innsbruck.at','Schneeburggasse 24','Innsbruck,  6020',6020,'Innsbruck','Tyrol','Austria','AT','47.27055','11.38208'
'Freie Waldorfschule Innsbruck-Waldorfkindergarten Innsbruck','www.waldorf-innsbruck.at','Jahnstraße 5','Innsbruck,  6020',6020,'Innsbruck','Tyrol','Austria','AT','47.26903','11.40384'
'Freie Waldorfschule Innsbruck-Waldorfkindergarten Innsbruck','www.waldorf-innsbruck.at','Universitatstraße  3','Innsbruck,  6020',6020,'Innsbruck','Tyrol','Austria','AT','47.26887','11.39687'
'Heilpädagogischer Kindergarten der Karl Schubert-Schule Wien','www.karl-schubert-schule.at','Kanitzgasse 1a','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15247','16.27045'
'Kindergarten der Christengemeinschaft Graz','www.waldorfkindergarten-graz.at','Körösistraße. 59','Graz,  8010',8010,'Graz','Styria','Austria','AT','47.0834','15.43032'
'Kinderkrippe Löwenzahn','www.waldorf-kufstein.at','Stuttgarterstraße  17','Kufstein,  6300',6330,'Kufstein','Tyrol','Austria','AT','47.58992','12.17826'
'Waldorf Salzburg Seminar für Anthroposophische Erziehungskunst','www.waldorf-salzburg.info','Waldorfstrasse 11','Salzburg,  5023',5023,'Salzburg','Salzburg','Austria','AT','47.82989','13.08071'
'Waldorf-Kindergruppe Döbling','www.waldorf-kindergruppe.at','Krottenbachstraße 106','Vienna,  1190',1190,'Vienna','Vienna','Austria','AT','48.24201','16.3268099'
'Waldorf-Kindergruppe Wein-Atzgersdorf','www.waldorfkindergruppe.at','Schembergasse 13','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.1484','16.28465'
'Waldorfbund Österreich','www.waldorf.at','Endresstraße 100','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15061','16.26953'
'Waldorfkindergarten Bad Vöslau','www.waldorf-badvoeslau.at','Bahngasse 1-3','Bad Vöslau,  2540',2540,'Bad Vöslau','Lower Austria','Austria','AT','47.96738','16.21416'
'Waldorfkindergarten Bregenz','www.waldorf-bregenz.at','Thalbachbergstraße 5','Bregenz,  6900',6900,'Bregenz','Vorarlberg','Austria','AT','47.49734','9.75301'
'Waldorfkindergarten der Freien Waldorfschule Graz','www.waldorfkindergarten-graz.at','St. Peter Hauptstraße. 182','Graz,  8042',8042,'Graz','Styria','Austria','AT','47.0472899','15.48362'
'Waldorfkindergarten der Freien Waldorfschule Wien-West','www.waldorf-wein-west.at','Seuttergasse 29','Vienna,  1130',1130,'Vienna','Vienna','Austria','AT','48.19588',16256
'Waldorfkindergarten der Rudolf Steiner Landschule Schönau','www.waldorf-schoenau.at','Kirchengasse 14-22','Schönau,  2525',2525,'Schönau an der Triesting','Lower Austria','Austria','AT','47.9387','16.25238'
'Waldorfkindergarten der Rudolf Steiner Schule Salzburg','www.waldorf-salzburg.info','Waldorfstraße 7','Salzburg,  5023',5023,'Salzburg','Salzburg','Austria','AT','47.82989','13.08071'
'Waldorfkindergarten der Waldorfschule Karl Schubert Graz','www.kss-graz.at','Riesstraße 351','Graz,  8010',8010,'Graz','Styria','Austria','AT','47.08297','15.47711'
